,index A,index B,index C,index D
80,79.73232,23.754095,10.373299,12.439474
82,79.73232,23.754095,10.373299,12.439474
84,79.742905,23.564142,10.333527,12.468886
86,79.742905,23.564142,10.333527,12.468886
88,79.71872,23.564142,10.333527,13.067584
90,79.80461,23.562529,10.333527,13.067584
92,79.80461,23.562529,10.333527,13.067584
94,79.76374,23.765581,10.511262,13.067584
96,79.56837,23.88898,10.511262,12.926394
98,79.56837,23.940859,10.511262,13.003312
100,79.42759,24.152424,10.53692,12.414811
102,79.18455,24.05066,11.087474,12.792152
104,79.19446,24.123093,11.077317,12.832859
106,79.236855,24.09257,11.077317,12.832859
108,79.2412,24.09257,11.067555,12.977009
110,79.269104,24.008781,11.067555,12.977009
112,79.269104,23.903133,11.067555,12.977009
114,79.286644,23.94764,10.867525,11.899511
116,79.28777,23.94764,10.814145,11.899511
118,79.21289,23.94764,10.8315115,11.899511
120,79.21289,23.94764,10.8315115,12.492525
122,79.21289,23.94764,10.8315115,12.492525
124,79.21289,23.94764,10.8315115,12.75957
126,79.21289,23.94764,10.8315115,12.75957
128,79.21289,23.94764,10.8315115,12.75957
130,79.21289,23.94764,10.8315115,12.75957
132,79.21289,23.94764,10.8315115,12.75957
