,index A,index B,index C,index D
15.0,79.486176,23.346724,11.004255,12.606675
15.4,79.486176,23.346724,11.004255,12.606675
15.8,79.486176,23.346724,11.004255,12.606675
16.200000000000003,79.486176,23.346724,11.004255,12.606675
16.6,79.486176,23.211155,11.004255,12.400768
17.0,79.486176,23.818031,11.004255,12.39211
17.400000000000002,79.486176,24.413666,11.004255,12.39211
17.800000000000004,79.02653,24.413666,11.21876,12.415526
18.200000000000003,79.05904,24.504765,11.253651,12.644311
18.6,79.28004,24.504765,11.13893,12.644311
19.000000000000004,79.18627,24.10592,11.128851,12.800857
19.400000000000006,79.31463,24.10592,11.124571,12.800857
19.800000000000004,79.31463,24.10592,11.077317,12.832859
20.200000000000003,79.21828,24.218771,11.077317,12.832859
20.600000000000005,79.18936,24.160007,11.382282,14.263675
21.000000000000007,79.21636,24.111124,11.271215,16.108625
21.400000000000006,79.24788,24.111124,11.245792,16.886803
21.800000000000004,79.23851,24.155838,11.087189,15.723348
22.200000000000006,79.23851,24.155838,11.087189,15.254465
22.60000000000001,79.23851,24.155838,11.087189,15.254465
23.000000000000007,79.20596,23.950567,11.217228,15.942926
23.400000000000006,79.20596,23.950567,11.217228,15.942926
23.800000000000008,79.20596,23.950567,11.217228,15.942926
