,index A,index B,index C,index D
51.0,79.05708,24.562532,11.838291,12.347532
51.5,79.05708,24.562532,11.838291,12.483988
52.0,79.05708,24.562532,11.838291,12.483988
52.5,79.05708,24.562532,11.838291,12.483988
53.0,79.05708,24.161674,11.838291,12.483988
53.5,79.05708,24.13235,11.838291,12.483988
54.0,79.05708,24.094135,11.914657,12.593626
54.5,78.95575,24.18854,11.427752,12.839693
55.0,78.88162,24.293665,11.109622,12.858823
55.5,79.236855,24.247995,11.099812,12.840874
56.0,79.236855,24.09257,11.077317,12.832859
56.5,79.245544,24.07077,11.341698,15.788454
57.0,79.2436,24.07077,11.520606,15.788454
57.5,79.2436,23.637527,11.520606,16.53548
58.0,79.2436,23.368471,11.464955,16.884878
58.5,79.31275,23.183687,11.4677925,17.034101
59.0,79.439606,23.183687,11.512338,17.034101
59.5,79.439606,23.183687,11.512338,17.034101
60.0,79.4008,23.183687,11.049774,17.101196
60.5,79.21109,23.183687,11.551227,17.101196
61.0,79.21109,23.183687,11.551227,17.101196
61.5,79.32883,23.183687,11.551227,17.066942
62.0,79.32883,23.183687,11.385991,17.035875
62.5,79.32883,23.183687,10.885396,14.933563
