,index A,index B,index C,index D
210,77.673355,24.945234,11.402431,12.754254
216,77.727425,24.945234,11.402431,12.754254
222,77.98041,24.860613,11.342744,12.763011
228,77.973465,24.860613,11.379123,12.778609
234,77.99118,25.06595,11.357073,12.963068
240,78.50052,24.551086,11.138252,12.644074
246,79.28775,24.08245,10.995056,12.569208
252,79.29314,24.1703,11.078271,12.569336
258,79.30559,24.144411,10.966539,12.523309
264,79.223274,24.127232,11.064783,12.405589
270,79.236855,24.09257,11.077317,12.832859
276,78.98811,24.048004,11.093474,12.418449
282,78.97523,24.100447,10.916415,12.590654
288,78.937584,24.338408,11.046889,12.462553
294,78.86109,24.48324,11.1724825,12.203817
300,78.64919,24.470724,11.211398,12.470862
306,78.72223,24.788986,11.216513,11.749334
312,78.23146,25.092417,11.310721,11.710781
318,78.19289,24.986359,11.224275,12.78654
324,78.19289,24.899395,11.099386,12.78654
330,78.14182,24.899395,11.040622,12.923089
336,78.14182,24.957561,11.072296,12.923089
342,78.14182,24.957561,11.072296,12.923089
348,78.14182,24.957561,11.072296,12.923089
354,78.14182,24.957561,11.072296,12.923089
360,78.14182,24.957561,11.072296,12.923089
366,78.14182,24.957561,11.072296,12.839062
372,78.14182,24.774515,11.059311,12.839062
378,78.14182,24.774515,11.059311,12.839062
