,index A,index B,index C,index D
300,79.38709,24.925013,10.975414,11.993645
350,79.39534,24.821976,10.975414,13.590461
400,79.39534,24.821976,10.975414,12.789939
450,79.416565,24.882568,10.966095,12.441374
500,79.40193,25.138813,11.128206,12.423442
550,79.40193,25.138813,11.124595,12.423442
600,79.51494,23.219116,11.143849,12.648846
650,79.50551,23.194363,11.160902,12.648846
700,79.50551,23.256222,11.117864,12.6226225
750,79.41533,23.668676,11.064387,12.614456
800,79.17755,23.801916,11.071788,12.315771
850,79.35815,23.888628,11.075817,12.477378
900,79.39875,24.09257,11.077317,12.832859
950,79.39875,24.09257,11.077317,12.832859
1000,79.22407,24.138498,11.077317,12.949499
1050,79.183495,24.054106,11.077317,12.816585
1100,79.183495,24.023415,11.077317,12.772826
1150,78.92877,24.073038,11.077317,12.731124
1200,78.89484,24.085669,11.090892,14.131674
1250,78.90123,23.955402,11.090892,14.131674
1300,78.88688,23.218552,10.009999,15.393229
1350,78.9392,23.204117,9.821723,15.677096
1400,79.09822,22.411995,9.849217,16.218904
1450,79.04139,21.890652,9.96732,16.971205
1500,79.04139,21.890652,9.96732,16.971205
