Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4
2022/1/13 0:01,0.055921534,0.084578601,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:02,0.052494919,0.068793684,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:03,0.053174068,0.071016911,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:04,0.054007569,0.070794589,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:05,0.053606254,0.072017364,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:06,0.053884087,0.069016006,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:07,0.053174068,0.074462914,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:08,0.053174068,0.069682975,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:09,0.052093604,0.073240139,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:10,0.053174068,0.074351753,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:11,0.054408884,0.07090575,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:12,0.052494919,0.071572718,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:13,0.056199367,0.072128525,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:14,0.053451902,0.070683427,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:15,0.054131051,0.081021436,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:16,0.054408884,0.073017816,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:17,0.051414455,0.070349943,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:18,0.051414455,0.07012762,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:19,0.05329755,0.075463367,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:20,0.053729735,0.070349943,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:21,0.053976699,0.071795041,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:22,0.050858788,0.064236067,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:23,0.054686718,0.069460652,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:24,0.052927105,0.075352206,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:25,0.055088033,0.069238329,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:26,0.053853217,0.083022341,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:27,0.048389156,0.05812219,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:28,0.054408884,0.074018269,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:29,0.049901806,0.049229279,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:30,0.054131051,0.066792779,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:31,0.051815771,0.06368026,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:32,0.049901806,0.06612581,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:33,0.053050587,0.066681617,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:34,0.052093604,0.069794136,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:35,0.052896235,0.068349038,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:36,0.052772753,0.065125358,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:37,0.051537937,0.067793231,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:38,0.054655847,0.073240139,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:39,0.053976699,0.068793684,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:40,0.053853217,0.069460652,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:41,0.051815771,0.061234709,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:42,0.050580955,0.069238329,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:43,0.047432174,0.055565478,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:44,0.052093604,0.067015101,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:45,0.052340567,0.071795041,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:46,0.053729735,0.072684332,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:47,0.050858788,0.057899867,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:48,0.055088033,0.091581768,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:49,0.05329755,0.067570908,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:50,0.055365867,0.073351301,78.15,26.21,12.93,14.59,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:51,0.055365867,0.074018269,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:52,0.058514647,0.078798209,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:53,0.052772753,0.072128525,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:54,0.053853217,0.071461557,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:55,0.055211515,0.073573623,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:56,0.05561283,0.077686595,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:57,0.05561283,0.071461557,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:58,0.050333991,0.067459747,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:59,0.05329755,0.072462009,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:00,0.05329755,0.070016459,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:01,0.05329755,0.069238329,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:02,0.053050587,0.07090575,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:03,0.053174068,0.065681165,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:04,0.052093604,0.067237424,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:05,0.056878516,0.08213305,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:06,0.052494919,0.062568646,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:07,0.053853217,0.077797756,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:08,0.051136622,0.063457937,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:09,0.052093604,0.069794136,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:10,0.052217086,0.071128073,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:11,0.053606254,0.069238329,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:12,0.053884087,0.069794136,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:13,0.052618401,0.070016459,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:14,0.052618401,0.076797304,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:15,0.051661419,0.06934949,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:16,0.052340567,0.065014196,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:17,0.050179639,0.060123095,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:18,0.056168497,0.072350848,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:19,0.053575383,0.077353111,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:20,0.055489348,0.072128525,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:21,0.052340567,0.068237877,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:22,0.055365867,0.073017816,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:23,0.055088033,0.067126263,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:24,0.051692289,0.069460652,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 1:25,0.053606254,0.069127168,,,,,-1.503058995,-0.84104569,-0.027341564,2.267079582
