Time,Temperature of system I,Temperature of system II,index A,index B,index C,index D,Mineral_parameter_1,Mineral_parameter_2,Mineral_parameter_3,Mineral_parameter_4
2022/1/13 0:01,0.055921534,0.084578601,78.29226685,26.02120209,12.21141052,14.74740505,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:02,0.052494919,0.068793684,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:03,0.053174068,0.071016911,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:04,0.054007569,0.070794589,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:05,0.053606254,0.072017364,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:06,0.053884087,0.069016006,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:07,0.053174068,0.074462914,78.29006195,26.00092697,12.83344936,14.74370575,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:08,0.053174068,0.069682975,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:09,0.052093604,0.073240139,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:10,0.053174068,0.074351753,78.29006195,26.00092697,12.83344936,14.74370575,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:11,0.054408884,0.07090575,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
2022/1/13 0:12,0.052494919,0.071572718,78.29006195,26.00092697,12.83344936,14.75686264,-1.503058995,-0.84104569,-0.027341564,2.267079582
